spotify_id,artist,track_name,valence,arousal,label_quadrant,lyrics
1w8r3PAxPPLfcuyRsC4BeA,Elysion,Made of Lies,0.225,0.858,Q2_Angry,"What if I wanted to stay away?
What if I wanted to run and hide?
Vows and promises break, oh, hey no
It always ends like this

Earth to earth, ashes to ashes
Dreams to crumbles and love to dust
Earth to earth, ashes to ashes
Dreams to crumbles and love to dust

Deep in my heart I've been prayin', cravin' for
Someone like you to come and stay
Innocence died in my childhood
I would trust you, but I'm afraid

Earth to earth, ashes to ashes
Dreams to crumbles and love to dust
Earth to earth, ashes to ashes
Dreams to crumbles and love to dust

Can you heal this human nature wound?
Can you feel for all eternity?
Can you speak for once what is the truth?
Can we rise from our identity?
Lies is what we are made of
Lies is what we are made of

Earth to earth, ashes to ashes
Dreams to crumbles and love to dust
Earth to earth, ashes to ashes
Dreams to crumbles and love to dust
(Lies is what we are made of)
Earth to earth, ashes to ashes
Dreams to crumbles and love to dust
(Lies is what we are made of)
Earth to earth, ashes to ashes
Dreams to crumbles and love to dust

Lies is what we are made of
Lies is what we are made of"
6VeihScj0pNr6uGFxfzalq,Hot Water Music,Wayfarer,0.327,0.976,Q2_Angry,"It's a gamble, double down or don't
Step out if you want to, stay in if you're bold, and roll
Could be a sure shot, or just as well, a fold
Guessing's never easy and wishes never sold like gold
The wheels are turning, the world keeps burning and all fall
To sweet defeat, so complete
Oh, call it humbling or brand it stumbling
Don't stop living and don't stop sailing to meet what will be destiny
We are wayfarers
With a wish to stay alive
For a cause, for a dream
There's much to move in a moving sea
Could be a sure shot, or just as well, a fold
Guessing's never easy and wishes never sold like gold
How about a handle or something set to hold?
Love is everlasting when love is on the road, I'm told
We are wayfarers
With a wish to stay alive
For a cause, for a dream
There's much to move in a moving sea"
6HfUriaVuymw9EmYeG9WH5,Grinspoon,Bleed You Dry,0.392,0.651,Q2_Angry,"If I could give you life I would take the chance
To make you see how much
All peeps and forgotten plans, last one to feel your touch
And I watched you from the shadows, waiting for your coach
And they pushed right past in barrows
I'll bleed you dry, I'll bleed you dry
I'll bleed you dry, get your daughter high
Make your mother cry, I'll bleed you dry
I'll bleed you dry, I'll bleed you dry
I'll bleed you, I'll bleed you, I'll bleed you dry
Heard the click felt the air and the guns go bang
Force-fed a genocide
But the place and the time was sad
Filled with forgotten lies
And I watched you from the shadows
Pull over by my side
I was shot by a poison arrow
I'll bleed you dry, I'll bleed you dry
I'll bleed you dry, get your daughter high
Make your mother cry, I'll bleed you dry
I'll bleed you dry, I'll bleed you dry
I'll bleed you, I'll bleed you, I'll bleed you dry
And though it never made you happy
You're not dead
And all the people would like to show
You're found dead
As if gold ever made you happy
I'll bleed you dry, I'll bleed you dry
I'll bleed you dry, get your daughter high
Make your mother cry, I'll bleed you dry
I'll bleed you dry, I'll bleed you dry
I'll bleed you, I'll bleed you, I'll bleed you dry"
2zEcAdsl5OjxKRrGQA5Z49,VRSTY,Wilt,0.2,0.932,Q2_Angry,"Save your breath
Don't waste your time on me
I’ve got nothing left to give
Take out all your memories
And hide them where you may never find them
'Cause I don't need them anymore
They say an eye for an eye
But you placed a blind spot between you and I
I went along for the ride, hoping things were different

But I should’ve left you alone, alone, alone
When I had the chance
High heels and a sharp knife, walking into my life
I'm sorry to say
I should've left you alone, alone, alone
When I had the chance
Just in case you ever forget me
I'm the same way that you left me

And I know it may be hard
But things had to happen for us this way
You chose to leave and I'm still the same
It's hard, I don't know what to say
Now I'm stuck with these feelings that won’t go away
And I tried and I tried, but I still see your face
Now I’m leaving with her, but I'm calling your name

Do you want him?
Do you miss me when I’m gone?
Do you ever feel at home
When the lights've gone on
And you're standing all alone?

I should've left you alone, alone, alone
When I had the chance
High heels and a sharp knife, walking into my life
I’m sorry to say
I should've left you alone, alone, alone
When I had the chance
Just in case you ever forget me
I'm the same way that you left me
I'm the same way that you left me, oh-oh
I'm the same way that you left me, yeah

And no
I'm the same
I'm the same
I'm the same

I should've left you alone, alone, alone
When I had the chance
High heels and a sharp knife, walking into my life
I'm sorry to say
I should've left you alone, alone, alone
When I had the chance
Just in case you ever forget me
I'm the same way that you left me

I should've left you alone, alone, alone
When I had the chance
I should've left you alone, alone, alone
When I had the chance
I should've left you alone, alone, alone
Alone, alone, alone
Should've left you alone, alone, alone
Alone, alone, alone"
0mJUxFpEI1eAOIIfnNoZ4G,Cradle Of Filth,Hallowed Be Thy Name,0.225,0.972,Q2_Angry,"I'm waiting in my cold cell when the bell begins to chime
Reflecting on my past life, and it doesn't have much time
'Cause at 5 o'clock, they take me to The Gallows Pole
The sands of time for me are running low
Motherfuckers!
Running low!

When the priest comes to read me the last rites
I take a look through the bars at the last sights
Of a world that has gone very wrong for me
Can it be that there's some sort of error?
Hard to stop the surmounting terror
Is it really the end, not some crazy dream?
Somebody, please tell me that I'm dreaming
It's not so easy to stop from screaming
But words escape me when I try to speak!
Tears, they flow, but why am I crying?
After all, I am not afraid of dying
Don't I believe that there never is an end?!


As the guards march me out to the courtyard
Someone cries from a cell, ""God be with you""
If there's a god, then why has he let me die?!
As I walk, all my life drifts before me
And though the end is near, I'm not sorry
Catch my soul, it's willing to fly away
Mark my words, believe my soul lives on
Don't worry now that I have gone
I've gone beyond to see the truth
So when you know that your time is close at hand
Maybe then you'll begin to understand
Life down there is just a strange illusion!



(Ooh-ooh-ooh, ooh-ooh-ooh)
Hallowed be thy name
(Ooh-ooh-ooh, ooh-ooh-ooh)
Hallowed be thy name!
Hallowed be thy name
Hallowed be thy name
Hallowed be thy name
Hallowed be thy name
Hallowed be thy name!
No, no, no, no, no, no"
4mdop8Jx5BwspAQzvjF8pu,Arch Enemy,House of Mirrors,0.29,0.941,Q2_Angry,"See the choice, it lies before you
A simple flick of the wrist
Blank doors keep the world at bay
Or do they keep the outside in?
What geometry lies beyond?
A familiar façade, keys in locks

Unhinge the future
Shut out the past
Winners and losers
Fiction and fact

Renegade are reflections made across a sharpened blade
In a house of mirrors you’re never alone
Welcome home!

To open is to invitе the unknown
In to flood your once square homе
The walls silently watch you
Are you watching them back?
Windows to the souls surround you
What escapes when those panes crack?

Unhinge the future
Shut out the past
Winners and losers
Fiction and fact

Renegade are reflections made across a sharpened blade
In a house of mirrors you’re never alone
Welcome home!
Suspicious simulacra distort your flesh and bone
'Cause in a house of mirrors you’re never alone
Welcome home!

You’ll run
You’ll hide
Or try to
But we all
Reside
Inside you


Renegade are reflections made across a sharpened blade
In a house of mirrors you’re never alone
Welcome home!
Suspicious simulacra distort your flesh and bone
'Cause in a house of mirrors you’re never alone
Welcome home!"
7BPnVWrtrUbX050WmCo86R,Fejo,Rap Padayali,0.386,0.754,Q2_Angry,"Jeffin'e aa beat onnu
Scratch cheythu load cheythe
Aadya rap cheyyumbol parayanu
Mone Fejo ninakku ithu pattilleda
Veendum song irakkumbol parayanu
Keralathil ottum odilleda
Topic enthu njn thappanu
Apt beat set aakanu
Varikal pala tharathil ezhuthanu
Mic'in munnil ninnu thee thuppanu
Pattu irangumbo thanne odakkannu (uhh)
Dislike button keri njekkanu (uhh)
Mosham comment kore adikkanu (uhh)
Youtube'il keri avar pedukkannu (uhh)
Aappa chattiyil ari varukkunnu
Kustharogi Lassar'ne pole
Echil athu perukkanu
K.S.R.T C bus pole pani mudakkanu
Kandedam kattappuram kidakkanu
Engum negativity
Aake shokam adi
Kettu katta theri
Chattavaarinadi
Pidichu ninnu
God, in his name
Struggle cheyyunnu, will get the fame
10 varshamayi in the game
Thari polum vittu kodukkilla ee poraali
Swantham charitham ini swayam ezhuthum
Anuvida patharaathoru Rappin Padayali
Call me, imma
Rap Padayali
Rap Padayali
Nammude Keralathin prethinidhi
Njan adimudi thani Malayali
Rap Padayali
Rap Padayali
Nammude Keralathin prethinidhi
Njan adimudi thani Malayali
Mathru bhasha athu etra shudham
Ammaye pole, oh parishudham
Illa chodyam, ne thannu bhodyam
Amminja pole theliyicha satyam
Paadi ere8
Prathiphalam vatta poojyam
Cheythu show
Kittiyathu sayoojyam
Malayala bhasha rap'nu yojyam
Malayora naadu
Athu ente rajyam
Ithin idayilo haters kanji vechu
Avar komballinu undakki podu
Ini kathum theevilakku nerippodu
Ente fans'nu ariyam ente kashttappaadu
Auidence'nte ochappadu
Avar pattu kettu thullum velichappadu
Dhe ningalkku arikil oru vilippadu
Njan vannu nilkkum, ente koode aadu
Engum negativity
Aake shokam adi
Kettu katta theri
Chattavaarinadi
Pidichu ninnu
God, in his name
Struggle cheyyunnu, will get the fame
10 varshamayi in the game
Thari polum vittu kodukkilla ee poraali
Swantham charitham ini swayam ezhuthum
Anuvida patharaathoru Rappin Padayali
Call me, imma
Rap Padayali
Rap Padayali
Nammude Keralathin prethinidhi
Njan adimudi thani Malayali
Rap Padayali
Rap Padayali
Nammude Keralathin prethinidhi
Njan adimudi thani Malayali"
2auGZBF35U0Hx18EzGSVOX,Gojira,Backbone,0.118,0.993,Q2_Angry,"Indestructible
On this rock, I lie, but I'm alive for good
And I just free myself for now from all what was wrong
Break the unbreakable
All the stars fearlessly bright
They call me out there
Order me to face the wind
My structure's alive, body's on the way
Don't bow down before the walls
Of fear and madness
They try to counter me
And strike me down to the ground again


Inexhaustible
The strength of fire is running through me
Spine-like beam of light
What mortal could ever break this force?
Unconstrained
I see at last my backbone straighten
Thy serpent made of bones
Finally rise up from the ground awaken

Beat your feet on the ground now, go"
679TnTjA1ad756mFFq91ZK,ShockOne,Thinkin About,0.337,0.681,Q2_Angry,"Why can't you be the one that I don't want, It's easier to turn off
My mind when you ain't there to think 'bout (You ain't there to think 'bout)
And if I was a liar then I would hate you
But I can't escape the fact that I need you
Why can't you be the one that I don't want
Why can't you be the one, why can't you be the one

I'm trying to figure out
How to be, I'm thinking, I'm thinking about
All of the time for you to play this out
Now tell me that I'm thinking, I'm thinking about
Tell me something, be the hand
All the thing I'll never had
I'm trying to figure out
How to be, I'm thinking, I'm thinking about
(How to be, I'm-)

How to be, I'm thinking, I'm thinking about
(How to bе, I'm-)
How to be, I'm thinking, I'm thinking about
(How to be, I'm-)
(How to be, I'm-)
How to bе, I'm thinking, I'm thinking about

Everybody begging me to hold off
Chasing my tail, trying to show off
Use every piece of me, you got a hold on, that hold on
And I just being honest because I miss you
That I'm tired of waiting for you to come through
So why am I still the one that you don't want
Why am I still the one, Why am I still the one

I'm trying to figure out
How to be, I'm thinking, I'm thinking about
All of the time for you to play this out
Now tell me that I'm thinking, I'm thinking about
Tell me something, be the hand
All the thing I'll never had
I'm trying to figure out
How to be, I'm thinking, I'm thinking about
(How to be, I'm-)

How to be, I'm thinking, I'm thinking about
(How to be, I'm-)
How to be, I'm thinking, I'm thinking about
(How to be, I'm-)
(How to be, I'm-)
(How to be, I'm-)
How to be, I'm thinking, I'm thinking about
(How to be, I'm-)
(How to be, I'm-)"
0cqsWgcbzZy77hPJ6IlvYj,Rend Collective,You Are My Vision,0.318,0.94,Q2_Angry,"Oh, oh, oh
(2x)

You are my vision, O king of my heart
Nothing else satisfies, only You, Lord
You are my best thought by day or by night
Waking or sleeping, Your presence, my light
Oh, oh, oh
(2x)

You are my wisdom, You are my true word
I ever with You, and You with me, Lord
You're my great Father, and I'm Your true son
You dwell inside me, together we're one
Oh, oh, oh
(2x)

You are my battle-shield, sword for the fight
You are my dignity, You're my delight
You're my soul's shelter and You're my high tower
Come, raise me heavenward, O Power of my power
Oh, oh, oh
(2x)

I don't want riches or a man's empty praise
You're my inheritance, now and always
You and You only, the first in my heart
High king of heaven, my treasure You are
Oh, oh, oh
(2x)

High king of heaven, when victory's won
May I reach heaven's joy, O bright heaven's Son
Heart of my own heart, whatever befall
Still be my vision, O ruler of all
Oh, oh, oh
(2x)

Heart of my own heart, whatever befall
Still be my vision, O ruler of all
Oh, oh, oh
(4x)"
