spotify_id,artist,track_name,valence,arousal,label_quadrant,instrumentalness
2t5xKumcLA9sHaeX3hERdO,Reinaldo,Retrato cantado de um amor,0.88,0.601,Q1_Happy,0.0
0DaMxhrFFLWFSs41y64XdP,BaianaSystem,Alfazema,0.709,0.929,Q1_Happy,0.00129
1yEODXY84WoEl9hS0t1B8v,Stephen Lynch,"Bowling Song (Almighty Malachi, Professional Bowling God)",0.76,0.691,Q1_Happy,0.0
4grqfe2UnI62nEqvzHhAmU,Laurent Voulzy,"Bubble Star, Pt. 1",0.759,0.731,Q1_Happy,0.0
5NFTXXhjDzWhoX0jg3Azdd,Jefte Santos,Vê Se Vigia,0.906,0.814,Q1_Happy,0.0
7AqdmyhxeYqwfwW52TTPdF,Yuvan Shankar Raja,Vethalaiya Potendi,0.821,0.948,Q1_Happy,0.00131
6mYwF0eYR2DymQwvvR1A5e,Björn Rosenström,Förfest på min altan,0.875,0.839,Q1_Happy,0.0
5e2c0iKOJju9ESAjpFDiwG,Mr.Children,ロードムービー,0.741,0.69,Q1_Happy,3.59e-05
2mHWjrN4rIL8vbWt0Od9Ux,Aimyon,3636,0.623,0.612,Q1_Happy,0.00195
7ItZM6DMZE2m1X7yIaRxjq,Eddie Cochran,C’Mon Everybody,0.856,0.7,Q1_Happy,0.0111
6sUe8tZt3qa7UXoqnmMAWu,Soledad,Eres,0.751,0.719,Q1_Happy,0.0
0oixvwgoGm4wV8go7pK2zJ,The Him,Gravity,0.792,0.868,Q1_Happy,9.52e-06
1LX8bbytb6noriWdMF7vnS,Gyllene Tider,Tuffa tider (För en drömmare),0.807,0.704,Q1_Happy,1.37e-05
2SCUPzpjvmFz2xqNikBaJE,Timo Räisänen,Sweet Marie,0.741,0.921,Q1_Happy,0.0
2bDzzVKowehXl7MaFfZ4Du,The Fleshtones,Dracula a GoGo,0.722,0.946,Q1_Happy,0.00953
0AcJ0eQfYYP9cLy2dMop1R,Os Paralamas Do Sucesso,Ela Disse Adeus,0.951,0.6,Q1_Happy,1.23e-05
5LITWbjjrQFdFYrZgcBWUT,GReeeN,Maria,0.823,0.672,Q1_Happy,0.0
7N0Py2msno86enR6JPNlpV,Turma do Pagode,Muito Cedo,0.638,0.744,Q1_Happy,0.0
4DKO2CA6oURAbnG2shWVOC,Criolo,Cria de Favela,0.701,0.751,Q1_Happy,8.84e-05
5u4VcoXxBsONkn9iXZVso8,Willi Herren,So gehn die Gauchos (So gehn die Deutschen) - Mallorca Mix,0.691,0.92,Q1_Happy,0.0
0I1EHCAxMY9n2KTjiZik54,PmBata,circus,0.834,0.621,Q1_Happy,0.0
3IP8Vd0laM4b4NHcEUhU2Z,Railroad Earth,Chasin' a Rainbow,0.632,0.754,Q1_Happy,0.00747
37ZJ0p5Jm13JPevGcx4SkF,Bon Jovi,Livin' On A Prayer,0.795,0.887,Q1_Happy,0.000214
18nD2SZN8cE9nK4ep5ZeUQ,Sem Compromisso,Ainda sei te amar,0.775,0.902,Q1_Happy,0.0
6pu3d534uImXPTd2ef7Yr2,ENHYPEN,Tamed-Dashed - Japanese Ver.,0.726,0.805,Q1_Happy,3.17e-06
1AMbMn3yvTExSbSyq5h6aR,Oingo Boingo,"Weird Science - From ""Weird Science"" Soundtrack",0.841,0.861,Q1_Happy,0.000637
5FqYA8KfiwsQvyBI4IamnY,Van Halen,Jump - 2015 Remaster,0.795,0.835,Q1_Happy,0.000377
3Wsky9vOyYP7g8qwIAXN9K,The Smith Street Band,The End Of The World,0.682,0.742,Q1_Happy,0.0
78Qvnq32XwiMzrzPEo7HXN,Nogizaka46,帰り道は遠回りしたくなる,0.714,0.85,Q1_Happy,0.0
1bBO92RtVTlJlfxuVaLek8,Plastilina Mosh,Aló,0.913,0.609,Q1_Happy,0.0191
2ef9tIleKf7mTz4bYmvt3l,Old 97's,Doreen,0.862,0.896,Q1_Happy,0.0653
7zumacGldlmxpoP8bpaeLe,Squeeze,Slap & Tickle,0.919,0.805,Q1_Happy,0.000828
0WVGfCs97aWDvJGBPMFMI0,Kathleen Madigan,Car Crash vs Plane Crash,0.691,0.828,Q1_Happy,0.0
7y7W8abNjZdG9BCHIO4Saa,Patricio Rey y sus Redonditos de Ricota,Un Pacman en el Savoy,0.729,0.924,Q1_Happy,1.13e-06
3uweF2P3NCKG12LpNvVcXB,Viti Ruiz,Me Muero Por Estar Contigo,0.837,0.726,Q1_Happy,2.49e-05
1odvBIeCuunsPjXJoDneHN,Akatu,Errar de Novo - Ao Vivo,0.929,0.809,Q1_Happy,0.0
48WphyLl9CNPAbLjeFKbq0,Vibronics,Pon Di Road,0.978,0.92,Q1_Happy,0.0
4OvmpueFGgjSLvqRu6vLhD,Humberto & Ronaldo,Hoje Sonhei Com Você - Ao Vivo,0.664,0.82,Q1_Happy,0.0
6wO0vMRAJB0r1lEWBJZNOq,Nickelback,Something in Your Mouth,0.746,0.977,Q1_Happy,1.77e-05
4W26Z7WlOdxPYgu1mJxcD7,Jebroer,Kind Eines Teufels,0.627,0.901,Q1_Happy,1.52e-05
4dUpm0QuR6MCIG5rN7XTI9,Banda Magníficos,Me Usa,0.88,0.743,Q1_Happy,1.23e-06
1cKCn6Wf63j9qdUKSVi356,Banda Eva,Tão Sonhada,0.677,0.711,Q1_Happy,0.00264
4Xb9WKmzyiPeQSRqNQ2djU,Arctic Monkeys,Evil Twin,0.741,0.752,Q1_Happy,1.78e-05
6zvaZ4TbFRvni9LYJG6QHh,DEVO,The Satisfied Mind,0.798,0.634,Q1_Happy,5.51e-06
3DQVgcqaP3iSMbaKsd57l5,Arctic Monkeys,I Bet You Look Good On The Dancefloor,0.778,0.948,Q1_Happy,0.0
60glrFrvqFW5RmNNecsnaa,Turma do Pagode,Muito Cedo,0.634,0.744,Q1_Happy,0.0
2B3RwDWuGN3vpvJVXtbqGs,Djavan,Boa Noite (Ao Vivo),0.672,0.823,Q1_Happy,0.000172
1vELwZM3uBYWd8HrtddD4l,GIMS,Bella,0.965,0.944,Q1_Happy,0.0795
70yCJ541LLy8nHH0VquRKy,Ana Torroja,Duele el Amor - En Vivo,0.674,0.836,Q1_Happy,0.0
128SjWlRU5dPxooWEmnrk8,La Sonora Dinamita,Gaita Frenetica,0.811,0.64,Q1_Happy,5.25e-06
6HPkWajn8320iMa9RIP3st,Cupid,Flex,0.751,0.674,Q1_Happy,0.0
4PWYENuSdnsNkZdTm3t4q3,PASSEPIED,S.S,0.683,0.933,Q1_Happy,0.0841
6EbmmL79iDxHrnduYQDBek,Richard Berry,Have Love Will Travel,0.965,0.892,Q1_Happy,0.000449
7CNCZCr9EfTRQncNLtAxlM,Tokyo Girls' Style,Dear mama,0.712,0.841,Q1_Happy,5.48e-06
1nj97Ce79lJcm7rtBz4wjo,Mumuzinho,Tomara / Trovão - Ao Vivo,0.778,0.754,Q1_Happy,0.0
0fROT4kK5oTm8xO8PX6EJF,Rilès,!I'll Be Back!,0.688,0.612,Q1_Happy,0.0
5dKNjyNIh9A6Rdm3Ek4Dlp,Péricles,Pela Hora,0.87,0.821,Q1_Happy,0.0
0FtD1ZukwCnuTfTNuwxrQM,Icon For Hire,Make A Move,0.714,0.83,Q1_Happy,0.0
2vetHpHhkHZ3B3BgyQQvFD,Mickey Taveras,Porque Te Quiero,0.915,0.673,Q1_Happy,0.0
3JsLg8mtMCWmbxlvf7l768,Gilberto Santa Rosa,Me Cogió La Noche,0.762,0.755,Q1_Happy,0.0
0iA3xXSkSCiJywKyo1UKjQ,The Kingsmen,Louie Louie,0.948,0.709,Q1_Happy,0.0
4vLCRNSVt3r281oEEDkty3,Squeeze,Revue,0.774,0.634,Q1_Happy,0.0
6xiGRIgBOsQPdzYfiHDESZ,When Chai Met Toast,Forever,0.697,0.737,Q1_Happy,0.169
4lAE47gj539h8R1yxPhhGG,BTS,Airplane pt.2,0.866,0.817,Q1_Happy,0.000103
4xFok5rjRSwS3WIOKyAGtL,OG Keemo,Hennyblick,0.649,0.655,Q1_Happy,0.0
4P8gSYEktoqRefQrkD2Hej,Reznik,Soudní Proces,0.778,0.877,Q1_Happy,0.0
6hEJvWfNOvTUhLuV1Or1of,Laidback Luke,Whistle (feat. Bertie Scott),0.716,0.922,Q1_Happy,0.0274
3TfJtvgXTC0BIsRGXD3SLz,Thekidszn,On & On,0.813,0.649,Q1_Happy,0.0
5br09BQU134gRX5M6HMnmr,Ozuna,Un Reel,0.746,0.744,Q1_Happy,0.000159
4eS6SJczn7yay78Spw3SPy,CHVRCHES,Do I Wanna Know? (triple j Like A Version),0.664,0.656,Q1_Happy,8.03e-05
39VxarnBZV8POFPXvnAD2U,Strawberry Switchblade,Trees and Flowers,0.805,0.732,Q1_Happy,0.292
46JGS5Gcz5TilUnqGGHnnl,Imaginasamba,Pega pega (Participação especial de Jojo Maronttinni) - Ao vivo,0.732,0.751,Q1_Happy,0.0
6ewApBBLNOZODfwiGrNwvF,Idoling!!!,S.O.W. Sense of Wonder,0.699,0.896,Q1_Happy,0.0
2AOjpUQahJDSpsOxR7HeGd,Skillibeng,Wheelie,0.701,0.696,Q1_Happy,1.19e-06
02dPJJKVdz9V36TIVu5iqQ,Sannex,"Dansbandsmedley (Inatt inatt, Aj aj aj, Leende guldbruna ögon, Börja om från början)",0.809,0.893,Q1_Happy,4.17e-06
5URMOTtwGuLZJlO1xrUxIE,Borgeous,Better Anyway,0.617,0.85,Q1_Happy,0.0
1NxCtk7ybnoLfNBBnMg5oM,Amindi,slideshow,0.902,0.623,Q1_Happy,0.0024
32LKwbmh6yVsWoRRF8DIvf,Pav Dharia,Na Ja,0.824,0.649,Q1_Happy,0.0
7mrd9moQ0k1QOws5UH6E4g,Pascal Letoublon,Fall In Love,0.683,0.836,Q1_Happy,0.00852
2G5DsZwbmMUZysqozAF8NA,Decada Explosiva,Só Eu E Você (There's A Kind Of Hush),0.604,0.676,Q1_Happy,0.0
6t6knHmmUVGnYHqQy7lTij,Lori Meyers,El Tiempo Pasará,0.662,0.698,Q1_Happy,0.00388
4yI1wZFvbyNE26RRV4oVVD,Dave Edmunds,King of Love,0.8,0.831,Q1_Happy,0.0
7EMxCYKxcJ0tk8t8fBTzCw,Kevi Jonny,Chave de Choro,0.718,0.702,Q1_Happy,0.0
5Q4lCfjJ1aht8YZOGFbC5U,Charlie Puth,Light Switch,0.905,0.627,Q1_Happy,0.000321
5eADwUCxvyIQyDOBMsokMF,Christopher Jackson,Where You Are,0.748,0.656,Q1_Happy,0.0
0RojAyIouILEA6nxbZ5fNN,Sorriso Maroto,6 da Manhã - Ao Vivo,0.715,0.633,Q1_Happy,0.0
4y4Xx3472fggyagdjTSq1k,Márcia Fellipe,Se Quer Saber - Ao Vivo,0.695,0.929,Q1_Happy,0.0
35UUpTmrcFXNIVIN26ujXl,Sech,Relación - Remix,0.835,0.771,Q1_Happy,1.51e-06
4SSpiR3Dmuc34bqJqbufom,Mumuzinho,Playlist - Ao Vivo,0.781,0.821,Q1_Happy,0.0
6o2LywO15LOguGZAxYygB7,Caju Pra Baixo,Minha Vida Sem Você / Conversa Fiada - Ao Vivo,0.905,0.856,Q1_Happy,0.0
4csz6h4Sf8ELul6oeagP42,Burak Cilt,Easy Come Easy Go (Tolga Mahmut Remix),0.7,0.723,Q1_Happy,0.000666
3mWpUEBYnv9SIFWfixSJFx,Barry White,"Can't Get Enough Of Your Love, Babe",0.795,0.78,Q1_Happy,0.106
